Stock_ID,Date,Open,High,Low,Close,Adj Close,Volume,Entity,Code,New Cases,Case Fatality,New Deaths,SMA 30,SMA 90,Signal,Position,Buy,Sell,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,ADX30,ADX14,14high,14low,%K,%D,gain,loss,avg_gain,avg_loss,rs,rsi
35,2019-02-22,360.3399963378906,366.1300048828125,360.04998779296875,363.0199890136719,363.0199890136719,7088200,0,0,0.0,0.0,0.0,345.22666829427084,0.0,0,0.0,0.0,0.0,355.75999450683594,342.6549987792969,0.0,0.0,359.9700012207031,69.2273491160835,47.005438398087,366.7099914550781,338.0,87.14732309419209,81.78667417372864,6.05,0.0,4.1881725405045875,2.055781337617347,2.0372655709379504,67.07564825517757
36,2019-02-25,367.010009765625,371.489990234375,363.7900085449219,363.9100036621094,363.9100036621094,7569300,0,0,0.0,0.0,0.0,346.5350016276042,0.0,0,0.0,0.0,0.0,359.00498962402344,345.0449981689453,0.0,0.0,353.3699951171875,68.393939084929,46.63133075498068,371.489990234375,338.0,77.36641151813377,82.244719241103,0.89,0.0,3.9525887876114028,1.9089398135018223,2.0705675263593792,67.4327305484908
37,2019-02-26,362.9800109863281,365.70001220703125,359.3299865722656,364.9700012207031,364.9700012207031,4944600,0,0,0.0,0.0,0.0,347.4476684570312,0.0,0,0.0,0.0,0.0,359.9099884033203,345.0449981689453,0.0,0.0,354.6099853515625,67.38208299286165,45.46461615647088,371.489990234375,338.0,80.53152906870785,80.07386032455928,1.06,0.0,3.7459753027820173,1.7725869696802636,2.1132815296829754,67.87955119170255
38,2019-02-27,363.5,368.0299987792969,359.79998779296875,362.8699951171875,362.8699951171875,5629900,0,0,0.0,0.0,0.0,348.44533487955727,0.0,0,0.0,0.0,0.0,359.9099884033203,345.0449981689453,0.0,0.0,356.55999755859375,66.45075196883927,44.59800781219323,371.489990234375,338.0,74.26098049936213,79.36434474241764,0.0,2.1,3.4784056382975876,1.795973614703102,1.9367799225004838,65.94909981717109
39,2019-02-28,362.4700012207031,366.3900146484375,357.7099914550781,358.1000061035156,358.1000061035156,6186800,0,0,0.0,0.0,0.0,348.5606679280599,0.0,0,0.0,0.0,0.0,362.68499755859375,345.0449981689453,0.0,0.0,366.9599914550781,65.45475399507825,43.40891354369672,371.489990234375,338.0,60.01795152177875,74.93916717072696,0.0,4.77,3.2299480927049027,2.0084040707957374,1.6082162646808342,61.65962103904105
40,2019-03-01,362.260009765625,362.8699951171875,354.69000244140625,357.32000732421875,357.32000732421875,5526500,0,0,0.0,0.0,0.0,348.7583343505859,0.0,0,0.0,0.0,0.0,362.68499755859375,345.2449951171875,0.0,0.0,367.7200012207031,64.35601695303515,41.764664383040895,371.489990234375,344.80999755859375,46.889104947097515,70.56747772109782,0.0,0.78,2.9992375146545527,1.9206609228817562,1.561565333538677,60.96137049846201
41,2019-03-04,359.7200012207031,362.25,348.0400085449219,351.0400085449219,351.0400085449219,7487000,0,0,0.0,0.0,0.0,348.68666788736977,0.0,0,0.0,0.0,0.0,359.76499938964844,349.8199920654297,0.0,0.0,369.75,63.01262563835686,39.180908764543034,371.489990234375,346.5199890136719,18.10179940040356,63.47358572138224,0.0,6.28,2.785006263607799,2.2320422855330593,1.2477390243270772,55.5108493834431
42,2019-03-05,351.4599914550781,356.1700134277344,348.25,354.29998779296875,354.29998779296875,5937800,0,0,0.0,0.0,0.0,349.1933339436849,0.0,0,0.0,0.0,0.0,359.76499938964844,349.8199920654297,0.0,0.0,367.8800048828125,61.71401403416784,36.78170711879502,371.489990234375,348.0400085449219,26.695028298731536,54.83754360774502,3.26,0.0,2.8189343876358133,2.072610693709269,1.3600887017478802,57.62871118956671
43,2019-03-06,353.6000061035156,359.8800048828125,351.70001220703125,359.6099853515625,359.6099853515625,6211900,0,0,0.0,0.0,0.0,350.34166666666664,0.0,0,0.0,0.0,0.0,359.76499938964844,349.8199920654297,0.0,0.0,365.489990234375,60.551423516149384,35.05065582519792,371.489990234375,348.0400085449219,49.3389588096964,50.833621792253965,5.31,0.0,2.9968676456618266,1.9245670727300357,1.5571645634624267,60.8941866984896
44,2019-03-07,360.1600036621094,362.8599853515625,350.5,352.6000061035156,352.6000061035156,6151300,0,0,0.0,0.0,0.0,351.36200052897135,0.0,0,0.0,0.0,0.0,359.76499938964844,351.1449890136719,0.0,0.0,361.4100036621094,59.499625941178046,33.817469649337035,371.489990234375,348.0400085449219,19.445633770557087,42.10706532108957,0.0,7.01,2.782805670971696,2.2878122818207474,1.2163610157547586,54.88099669270439
45,2019-03-08,345.75,349.9200134277344,342.4700012207031,349.6000061035156,349.6000061035156,6898800,0,0,0.0,0.0,0.0,352.12633361816404,0.0,0,0.0,0.0,0.0,355.25,353.9949951171875,0.0,0.0,364.7099914550781,58.155758968772545,31.426362655711266,371.489990234375,342.4700012207031,24.56928870460088,35.008252207552246,0.0,3.0,2.584033837330861,2.3386828331192655,1.1049099094315211,52.49202849398563
46,2019-03-11,352.0,358.9800109863281,350.0299987792969,358.8599853515625,358.8599853515625,5387300,0,0,0.0,0.0,0.0,352.82000020345055,0.0,0,0.0,0.0,0.0,355.25,353.9949951171875,0.0,0.0,363.9200134277344,57.07638590581028,30.291654813139708,371.489990234375,342.4700012207031,56.47825753186102,34.502581637564,9.26,0.0,3.060888563235799,2.171634059325032,1.409486349733876,58.497378492704534
47,2019-03-12,359.3699951171875,360.1300048828125,353.79998779296875,356.2699890136719,356.2699890136719,5164600,0,0,0.0,0.0,0.0,353.5069997151693,0.0,0,0.0,0.0,0.0,354.4300079345703,354.7449951171875,0.0,0.0,367.6499938964844,56.059206638884106,29.3611945397641,371.489990234375,342.4700012207031,47.55338737884191,34.5974791278132,0.0,2.59,2.8422536658618136,2.2015173408018156,1.291043051619405,56.35175867633049
48,2019-03-13,355.80999755859375,362.4800109863281,352.7699890136719,361.2099914550781,361.2099914550781,6444100,0,0,0.0,0.0,0.0,354.58399963378906,0.0,0,0.0,0.0,0.0,352.6699981689453,354.7449951171875,0.0,0.0,351.1400146484375,55.12956182451622,28.751355110047893,371.489990234375,342.4700012207031,64.57614517202687,41.236671380902244,4.94,0.0,2.992092689728827,2.0442661021731143,1.4636512763911436,59.40983979417571
49,2019-03-14,360.5,363.8399963378906,358.1000061035156,358.82000732421875,358.82000732421875,5271400,0,0,0.0,0.0,0.0,355.1893330891927,0.0,0,0.0,0.0,0.0,353.1549987792969,354.7449951171875,0.0,0.0,348.8699951171875,54.26190112940912,28.33270647842961,371.489990234375,342.4700012207031,56.34049722008103,45.47173836966646,0.0,2.39,2.778371783319625,2.0689613805893203,1.342882380205781,57.317532947933664
